Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,Bushwick,2010,8,tt1592550,Action
Movie,Trigger,2010,por estrenar,tt1594572,Action
Movie,The Time to Kill,2010,1,tt1595022,Action
Movie,Chase,2010,4,tt1594964,Action
Movie,The Last Zombi Hunter,2010,por estrenar,tt1595006,Action
Movie,Deadly Closure,2010,4,tt1595637,Action
Movie,High Blue Sky,2010,por estrenar,tt1595877,Action
Movie,Donkey,2010,1,tt1595388,Action
Movie,Locked Down,2010,11,tt1597033,Action
Movie,Hunted by Night,2010,4,tt1595844,Action
Movie,Frog,2010,9,tt1595876,Action
Movie,The Rosary and the Gun,2010,por estrenar,tt1598715,Action
Movie,Prism,2010,por estrenar,tt1599345,Action
Movie,Torture,2010,9,tt1599370,Action
Movie,La princesse de Montpensier,2010,11,tt1599975,Action
Movie,The Experience,2010,por estrenar,tt1601944,Action
Movie,Where's Henry,2010,por estrenar,tt1601929,Action
Movie,Foh lung,2010,4,tt1602500,Action
Movie,Prasthanam,2010,4,tt1603362,Action
Movie,Zombie Beach,2010,2,tt1604064,Action
Movie,Caught Inside,2010,3,tt1604070,Action
Movie,Phelps Avenue,2010,3,tt1604159,Action
Movie,Red Bull Project X,2010,1,tt1604185,Action
Movie,A Father's Fight,2010,1,tt1605610,Action
Movie,Sukeban hantâzu: Sôkatsu nagurikomi sakusen,2010,12,tt1604555,Action
Movie,Harjunpää & pahan pappi,2010,10,tt1604577,Action
Movie,Aakhari Decision,2010,2,tt1606162,Action
Movie,Gyakushû! Sukeban hantâzu: Jigoku no kettô,2010,2,tt1604554,Action
Movie,Báng-kah,2010,2,tt1604900,Action
Movie,Hisshiken torisashi,2010,7,tt1606761,Action
Movie,Chou gekijôban Keroro gunsô: Tanjou! Kyuukyoku Keroro - Kiseki no jikuujima de arimasu!!,2010,2,tt1606599,Action
Movie,Tell Me and I Will Forget,2010,por estrenar,tt1608217,Action
Movie,Lafangey Parindey,2010,8,tt1606267,Action
Movie,Utsukushiki mehyô: Body sniper,2010,3,tt1608620,Action
Movie,Evolusi KL Drift 2,2010,3,tt1606215,Action
Movie,Into the Welkin,2010,por estrenar,tt1609782,Action
Movie,The Big Sleaze,2010,2,tt1611174,Action
Movie,Ladron,2010,,tt1610492,Action
Movie,Mei li mut ling,2010,4,tt1611907,Action
Movie,Kaptan feza,2010,1,tt1613037,Action
Movie,Da lui toi,2010,6,tt1611823,Action
Movie,Australis: An Antarctic Ski Odyssey,2010,por estrenar,tt1612243,Action
Movie,Darah Garuda,2010,9,tt1612768,Action
Movie,Kyôretsu môretsu! Kodai shôjo Dogu-chan matsuri! Supesharu mûbî edishon,2010,2,tt1612556,Action
Movie,Fei saa fung chung chun,2010,5,tt1611840,Action
Movie,The Academy,2010,3,tt1612069,Action
Movie,Mission Park,2010,8,tt1613047,Action
Movie,Monster,2010,12,tt1617136,Action
Movie,Florence Fight Club,2010,por estrenar,tt1614969,Action
Movie,Go West Happy Cow,2010,4,tt1616510,Action
Movie,The Subhuman,2010,por estrenar,tt1615887,Action
Movie,Stella's War,2010,por estrenar,tt1617200,Action
Movie,Vicissitudes,2010,por estrenar,tt1615904,Action
Movie,The Leaving,2010,7,tt1616551,Action
Movie,Joshikôsei zonbi,2010,3,tt1616537,Action
Movie,Trick,2010,3,tt1617207,Action
Movie,Legenda ostrova Dvid,2010,4,tt1620523,Action
Movie,Dabangg,2010,9,tt1620719,Action
Movie,Bhavnao Ko Samjho,2010,1,tt1620697,Action
Movie,Avenging Force: The Scarab,2010,11,tt1619016,Action
Movie,La selva en blanco,2010,por estrenar,tt1620845,Action
Movie,Na igre 2. Novyy uroven,2010,4,tt1620549,Action
